length	corrupt	iteration	seconds
10000	79	5	7.359589
10000	79	6	6.888258
10000	79	7	7.371422
10000	79	8	6.704895
10000	79	9	6.554932
10000	80	0	6.633296
10000	80	1	6.603618
10000	80	2	6.518261
10000	80	3	6.348427
10000	80	4	6.578412
10000	80	5	6.717041
10000	80	6	6.569107
10000	80	7	6.420832
10000	80	8	6.474388
10000	80	9	6.520369
10000	81	0	6.704075
10000	81	1	6.522414
10000	81	2	6.617705
10000	81	3	6.704866
10000	81	4	6.47541
10000	81	5	6.529381
10000	81	6	6.525551
10000	81	7	6.552464
10000	81	8	6.474724
10000	81	9	6.456706
10000	82	0	6.648496
10000	82	1	6.656317
10000	82	2	7.085956
10000	82	3	8.407327
10000	82	4	6.797035
10000	82	5	7.566545
10000	82	6	7.735594
10000	82	7	6.995606
10000	82	8	7.143163
10000	82	9	7.520072
10000	83	0	7.535038
10000	83	1	8.770696
10000	83	2	7.45247
10000	83	3	6.633413
10000	83	4	6.934453
10000	83	5	6.459214
10000	83	6	7.128391
10000	83	7	6.443038
10000	83	8	6.68863
10000	83	9	7.603997
10000	84	0	7.586704
10000	84	1	10.795817
10000	84	2	8.71145
10000	84	3	7.844028
10000	84	4	7.791597
10000	84	5	7.379271
10000	84	6	8.342929
10000	84	7	7.333132
10000	84	8	6.778147
10000	84	9	6.738501
10000	85	0	6.976813
10000	85	1	6.687402
10000	85	2	6.410191
10000	85	3	6.651291
10000	85	4	6.535501
10000	85	5	6.715695
10000	85	6	6.674376
10000	85	7	6.390433
10000	85	8	6.729405
10000	85	9	6.576408
10000	86	0	6.503503
10000	86	1	6.776879
10000	86	2	6.880713
10000	86	3	6.889988
10000	86	4	6.652756
10000	86	5	6.502617
10000	86	6	6.858406
10000	86	7	7.085056
10000	86	8	7.748286
10000	86	9	8.027246
10000	87	0	6.35605
10000	87	1	6.365278
10000	87	2	6.691216
10000	87	3	6.627774
10000	87	4	6.803633
10000	87	5	7.533662
10000	87	6	7.848339
10000	87	7	6.517146
10000	87	8	7.138502
10000	87	9	6.566202
10000	88	0	6.443971
10000	88	1	6.539516
10000	88	2	6.352462
10000	88	3	6.548992
10000	88	4	6.321717
10000	88	5	6.561286
10000	88	6	7.086641
10000	88	7	6.818783
10000	88	8	7.303634
10000	88	9	7.416328
10000	89	0	7.83184
10000	89	1	7.302771
10000	89	2	8.07563
10000	89	3	7.000975
10000	89	4	7.409401
10000	89	5	6.993579
10000	89	6	7.049151
10000	89	7	6.629699
10000	89	8	6.915953
10000	89	9	6.545576
10000	90	0	6.489639
10000	90	1	6.353014
10000	90	2	6.708187
10000	90	3	6.434313
10000	90	4	6.949478
10000	90	5	6.699877
10000	90	6	6.353483
10000	90	7	6.333068
10000	90	8	6.402945
10000	90	9	6.432309
10000	91	0	6.502959
10000	91	1	6.538431
10000	91	2	6.546693
10000	91	3	6.491208
10000	91	4	6.401716
10000	91	5	6.445245
10000	91	6	6.376234
10000	91	7	6.467802
10000	91	8	6.382785
10000	91	9	6.763214
10000	92	0	6.446455
10000	92	1	6.2533
10000	92	2	6.407898
10000	92	3	6.38629
10000	92	4	6.334243
10000	92	5	6.593659
10000	92	6	6.633486
10000	92	7	6.419871
10000	92	8	6.669109
10000	92	9	6.488649
10000	93	0	6.45395
10000	93	1	6.535454
10000	93	2	6.541511
10000	93	3	6.414851
10000	93	4	6.558882
10000	93	5	6.470024
10000	93	6	6.509136
10000	93	7	6.687523
10000	93	8	6.278315
10000	93	9	6.600498
10000	94	0	6.661701
10000	94	1	6.861798
10000	94	2	6.372987
10000	94	3	7.221774
10000	94	4	7.36665
10000	94	5	6.389838
10000	94	6	6.648012
10000	94	7	8.532361
10000	94	8	6.668073
10000	94	9	6.819812
10000	95	0	6.379161
10000	95	1	6.634262
10000	95	2	7.255859
10000	95	3	6.193224
10000	95	4	7.822088
10000	95	5	7.278777
10000	95	6	7.165594
10000	95	7	7.543269
10000	95	8	7.464044
10000	95	9	6.532989
10000	96	0	6.525203
10000	96	1	6.297787
10000	96	2	6.271226
10000	96	3	6.347909
10000	96	4	6.390918
10000	96	5	6.340627
10000	96	6	6.193468
10000	96	7	6.421297
10000	96	8	6.306139
10000	96	9	6.258695
10000	97	0	6.270025
10000	97	1	6.366044
10000	97	2	6.438042
10000	97	3	6.283334
10000	97	4	6.198965
10000	97	5	6.732159
10000	97	6	6.12142
10000	97	7	6.435808
10000	97	8	6.381384
10000	97	9	6.204307
10000	98	0	6.399847
10000	98	1	7.307173
10000	98	2	6.228371
10000	98	3	6.252051
10000	98	4	6.039713
10000	98	5	6.325362
10000	98	6	6.388301
10000	98	7	6.248965
10000	98	8	6.128497
10000	98	9	6.533228
10000	99	0	6.131608
10000	99	1	6.074784
10000	99	2	6.274225
10000	99	3	6.303058
10000	99	4	5.896319
10000	99	5	6.213209
10000	99	6	6.24467
10000	99	7	6.113188
10000	99	8	6.268988
10000	99	9	6.323195
